class,precision,recall,f1-score,support
neg,0.6078,0.4581,0.5225,203.0
neu,0.2899,0.0957,0.1439,209.0
pos,0.4365,0.8777,0.583,188.0
accuracy,0.4633,0.4633,0.4633,0.4633
macro avg,0.4447,0.4772,0.4165,600.0
weighted avg,0.4434,0.4633,0.4096,600.0
