class,precision,recall,f1-score,support
neg,0.6061,0.3941,0.4776,203.0
neu,0.2917,0.1005,0.1495,209.0
pos,0.4141,0.8723,0.5616,188.0
accuracy,0.4417,0.4417,0.4417,0.4417
macro avg,0.4373,0.4556,0.3962,600.0
weighted avg,0.4364,0.4417,0.3896,600.0
