
========== SVM RULE-LEVEL AUDIT ==========
Total rules: 148
Rules used: 49
Rules not used: 99

========== RULE SUMMARY TABLE ==========
                              rule_key  applications  corrected  harmed  net_corrections  correction_precision  mean_margin_change status
           phrase:could_not_be_happier             0          0       0                0                   NaN                 NaN UNUSED
                phrase:dead_on_arrival             0          0       0                0                   NaN                 NaN UNUSED
           phrase:does_not_hold_charge             0          0       0                0                   NaN                 NaN UNUSED
          phrase:exceeded_expectations             0          0       0                0                   NaN                 NaN UNUSED
             phrase:fabric_feels_cheap             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:fell_apart             0          0       0                0                   NaN                 NaN UNUSED
              phrase:flickering_screen             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:great_read             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:hard_to_follow             0          0       0                0                   NaN                 NaN UNUSED
             phrase:highly_informative             0          0       0                0                   NaN                 NaN UNUSED
            phrase:keeps_disconnecting             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:low_quality             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:missing_pages             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:missing_parts             0          0       0                0                   NaN                 NaN UNUSED
phrase:neutral_average_nothing_special             0          0       0                0                   NaN                 NaN UNUSED
       phrase:neutral_decent_for_price             0          0       0                0                   NaN                 NaN UNUSED
     phrase:neutral_good_but_not_great             0          0       0                0                   NaN                 NaN UNUSED
      phrase:neutral_not_bad_not_great             0          0       0                0                   NaN                 NaN UNUSED
        phrase:neutral_okay_but_issues             0          0       0                0                   NaN                 NaN UNUSED
  phrase:neutral_somewhat_disappointed             0          0       0                0                   NaN                 NaN UNUSED
              phrase:neutral_works_but             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:no_complaints             0          0       0                0                   NaN                 NaN UNUSED
                phrase:no_longer_works             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:no_regrets             0          0       0                0                   NaN                 NaN UNUSED
               phrase:not_as_described             0          0       0                0                   NaN                 NaN UNUSED
                        phrase:not_bad             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:not_delivered             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:not_lasting             0          0       0                0                   NaN                 NaN UNUSED
                phrase:not_powering_on             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:not_turning_on             0          0       0                0                   NaN                 NaN UNUSED
              phrase:overheats_quickly             0          0       0                0                   NaN                 NaN UNUSED
                phrase:poor_connection             0          0       0                0                   NaN                 NaN UNUSED
                       phrase:poor_fit             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:printing_error             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:screen_cracked             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:seam_ripped             0          0       0                0                   NaN                 NaN UNUSED
              phrase:shrunk_after_wash             0          0       0                0                   NaN                 NaN UNUSED
                phrase:stopped_working             0          0       0                0                   NaN                 NaN UNUSED
     phrase:touchscreen_not_responsive             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:want_refund             0          0       0                0                   NaN                 NaN UNUSED
              phrase:works_as_expected             0          0       0                0                   NaN                 NaN UNUSED
                phrase:works_perfectly             0          0       0                0                   NaN                 NaN UNUSED
              phrase:worth_every_penny             0          0       0                0                   NaN                 NaN UNUSED
                phrase:would_buy_again             0          0       0                0                   NaN                 NaN UNUSED
            phrase:would_not_recommend             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:wrong_item             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:wrong_size             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:zipper_broken             0          0       0                0                   NaN                 NaN UNUSED
     post_contrast_marker:nevertheless             0          0       0                0                   NaN                 NaN UNUSED
      post_contrast_marker:nonetheless             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:waste_of_money             2          0       1               -1              0.000000            0.198134   USED
                   phrase:true_to_size             1          0       1               -1              0.000000           -0.118193   USED
              post_contrast_marker:but            86          6       8               -2              0.428571           -0.014297   USED

========== RULES NOT USED ==========
diminisher:kinda
diminisher:partially
diminisher:partly
diminisher:sorta
intensifier:incredibly
intensifier:ridiculously
intensifier:terribly
intensifier:ultra
negator:ain't
negator:aint
negator:aren't
negator:arent
negator:can't
negator:cannot
negator:cant
negator:couldn't
negator:couldnt
negator:didn't
negator:didnt
negator:doesn't
negator:doesnt
negator:don't
negator:dont
negator:hadn't
negator:hadnt
negator:hasn't
negator:hasnt
negator:haven't
negator:havent
negator:isn't
negator:isnt
negator:n't
