
========== NB RULE-LEVEL AUDIT ==========
Total rules: 150
Rules used: 51
Rules not used: 99

========== RULE SUMMARY TABLE ==========
                              rule_key  applications  corrected  harmed  net_corrections  correction_precision  mean_margin_change status
            phrase:keeps_disconnecting             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:low_quality             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:missing_pages             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:missing_parts             0          0       0                0                   NaN                 NaN UNUSED
phrase:neutral_average_nothing_special             0          0       0                0                   NaN                 NaN UNUSED
       phrase:neutral_decent_for_price             0          0       0                0                   NaN                 NaN UNUSED
     phrase:neutral_good_but_not_great             0          0       0                0                   NaN                 NaN UNUSED
      phrase:neutral_not_bad_not_great             0          0       0                0                   NaN                 NaN UNUSED
        phrase:neutral_okay_but_issues             0          0       0                0                   NaN                 NaN UNUSED
  phrase:neutral_somewhat_disappointed             0          0       0                0                   NaN                 NaN UNUSED
              phrase:neutral_works_but             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:no_complaints             0          0       0                0                   NaN                 NaN UNUSED
                phrase:no_longer_works             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:no_regrets             0          0       0                0                   NaN                 NaN UNUSED
               phrase:not_as_described             0          0       0                0                   NaN                 NaN UNUSED
                        phrase:not_bad             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:not_delivered             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:not_lasting             0          0       0                0                   NaN                 NaN UNUSED
                phrase:not_powering_on             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:not_turning_on             0          0       0                0                   NaN                 NaN UNUSED
              phrase:overheats_quickly             0          0       0                0                   NaN                 NaN UNUSED
                phrase:poor_connection             0          0       0                0                   NaN                 NaN UNUSED
                       phrase:poor_fit             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:printing_error             0          0       0                0                   NaN                 NaN UNUSED
                 phrase:screen_cracked             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:seam_ripped             0          0       0                0                   NaN                 NaN UNUSED
              phrase:shrunk_after_wash             0          0       0                0                   NaN                 NaN UNUSED
                phrase:stopped_working             0          0       0                0                   NaN                 NaN UNUSED
     phrase:touchscreen_not_responsive             0          0       0                0                   NaN                 NaN UNUSED
                    phrase:want_refund             0          0       0                0                   NaN                 NaN UNUSED
              phrase:works_as_expected             0          0       0                0                   NaN                 NaN UNUSED
                phrase:works_perfectly             0          0       0                0                   NaN                 NaN UNUSED
              phrase:worth_every_penny             0          0       0                0                   NaN                 NaN UNUSED
                phrase:would_buy_again             0          0       0                0                   NaN                 NaN UNUSED
            phrase:would_not_recommend             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:wrong_item             0          0       0                0                   NaN                 NaN UNUSED
                     phrase:wrong_size             0          0       0                0                   NaN                 NaN UNUSED
                  phrase:zipper_broken             0          0       0                0                   NaN                 NaN UNUSED
     post_contrast_marker:nevertheless             0          0       0                0                   NaN                 NaN UNUSED
      post_contrast_marker:nonetheless             0          0       0                0                   NaN                 NaN UNUSED
          post_contrast_marker:however            13          2       3               -1              0.400000           -0.000923   USED
                  phrase:does_not_work            10          0       1               -1              0.000000           -0.050225   USED
                       negator:without             9          1       2               -1              0.333333           -0.057412   USED
                     phrase:runs_large             4          0       1               -1              0.000000            0.045006   USED
                   diminisher:slightly             3          0       1               -1              0.000000           -0.109040   USED
                    intensifier:highly             3          0       1               -1              0.000000           -0.290423   USED
                    phrase:no_problems             2          0       1               -1              0.000000           -0.119851   USED
                intensifier:absolutely             2          0       1               -1              0.000000           -0.309622   USED
                     phrase:runs_small             1          0       1               -1              0.000000           -0.215003   USED
              intensifier:surprisingly             1          0       1               -1              0.000000           -0.464266   USED
                  phrase:not_satisfied             1          0       1               -1              0.000000           -0.472575   USED
                         negator:never             9          2       4               -2              0.333333           -0.103532   USED
                     diminisher:barely             4          0       3               -3              0.000000           -0.220181   USED
                            negator:no            27          1       5               -4              0.166667           -0.106068   USED
              post_contrast_marker:but            86         10      15               -5              0.400000           -0.029066   USED
                    intensifier:really            24          2       7               -5              0.222222           -0.150356   USED
                           negator:not            97         10      22              -12              0.312500           -0.063684   USED

========== RULES NOT USED ==========
diminisher:kinda
diminisher:partially
diminisher:partly
diminisher:sorta
intensifier:incredibly
intensifier:ridiculously
intensifier:terribly
intensifier:ultra
negator:ain't
negator:aint
negator:aren't
negator:arent
negator:can't
negator:cannot
negator:cant
negator:couldn't
negator:couldnt
negator:didn't
negator:didnt
negator:doesn't
negator:doesnt
negator:don't
negator:dont
negator:hadn't
negator:hadnt
negator:hasn't
negator:hasnt
negator:haven't
negator:havent
negator:isn't
negator:isnt
negator:n't
negator:nt
negator:shouldn't
negator:shouldnt
negator:wasn't
negator:wasnt
negator:weren't
negator:werent
negator:won't
negator:wont
negator:wouldn't
negator:wouldnt
phrase:bad_translation
phrase:battery_drains_fast
phrase:better_than_expected
phrase:cannot_recommend_enough
phrase:color_faded
phrase:comfortable_fit
phrase:could_not_be_happier
phrase:dead_on_arrival
phrase:does_not_hold_charge
phrase:exceeded_expectations
phrase:fabric_feels_cheap
phrase:fell_apart
phrase:flickering_screen
phrase:great_read
phrase:hard_to_follow
phrase:highly_informative
phrase:keeps_disconnecting
phrase:low_quality
phrase:missing_pages
phrase:missing_parts
phrase:neutral_average_nothing_special
phrase:neutral_decent_for_price
phrase:neutral_good_but_not_great
phrase:neutral_not_bad_not_great
phrase:neutral_okay_but_issues
phrase:neutral_somewhat_disappointed
phrase:neutral_works_but
phrase:no_complaints
phrase:no_longer_works
phrase:no_regrets
phrase:not_as_described
phrase:not_bad
phrase:not_delivered
phrase:not_lasting
phrase:not_powering_on
phrase:not_turning_on
phrase:overheats_quickly
phrase:poor_connection
phrase:poor_fit
phrase:printing_error
phrase:screen_cracked
phrase:seam_ripped
phrase:shrunk_after_wash
phrase:stopped_working
phrase:touchscreen_not_responsive
phrase:want_refund
phrase:works_as_expected
phrase:works_perfectly
phrase:worth_every_penny
phrase:would_buy_again
phrase:would_not_recommend
phrase:wrong_item
phrase:wrong_size
phrase:zipper_broken
post_contrast_marker:nevertheless
post_contrast_marker:nonetheless
